지점,지점명,일시,강수량(mm),강수량 QC플래그,적설(cm),3시간신적설(cm),현상번호(국내식)
108,서울,2024-02-06 06:00,,9,3.5,,
108,서울,2024-02-06 07:00,,9,3.5,,05
108,서울,2024-02-06 08:00,,9,3.5,,05
108,서울,2024-02-06 09:00,0,,3.1,,
108,서울,2024-02-06 10:00,,9,2.7,,
108,서울,2024-02-06 11:00,,9,2.2,,
108,서울,2024-02-06 12:00,,9,1.3,,
108,서울,2024-02-06 13:00,,9,.3,,
108,서울,2024-02-06 14:00,,9,,,
108,서울,2024-02-06 15:00,0,,,,05
108,서울,2024-02-06 16:00,,9,,,05
108,서울,2024-02-06 17:00,,9,,,
108,서울,2024-02-06 18:00,0,,,,
108,서울,2024-02-06 19:00,,9,,,0601
108,서울,2024-02-06 20:00,,9,,,
108,서울,2024-02-06 21:00,0,,,,1905
108,서울,2024-02-06 22:00,,9,,,1905
108,서울,2024-02-06 23:00,,9,,,19
108,서울,2024-02-07 00:00,0,,,,1905
108,서울,2024-02-07 01:00,,9,,,1905
108,서울,2024-02-07 02:00,,9,,,1905
108,서울,2024-02-07 03:00,0,,,,1905
108,서울,2024-02-07 04:00,,9,,,1905
108,서울,2024-02-07 05:00,,9,,,19
108,서울,2024-02-07 06:00,0,,,,19
108,서울,2024-02-07 07:00,,9,,,19
108,서울,2024-02-07 08:00,,9,,,19
108,서울,2024-02-07 09:00,,9,,,19
108,서울,2024-02-07 10:00,,9,,,19
108,서울,2024-02-07 11:00,,9,,,19
108,서울,2024-02-07 12:00,,9,,,19
108,서울,2024-02-07 13:00,,9,,,
108,서울,2024-02-07 14:00,,9,,,
108,서울,2024-02-07 15:00,,9,,,
108,서울,2024-02-07 16:00,,9,,,
108,서울,2024-02-07 17:00,,9,,,
108,서울,2024-02-07 18:00,,9,,,
108,서울,2024-02-07 19:00,,9,,,
108,서울,2024-02-07 20:00,,9,,,
108,서울,2024-02-07 21:00,,9,,,
108,서울,2024-02-07 22:00,,9,,,
108,서울,2024-02-07 23:00,,9,,,
108,서울,2024-02-08 00:00,,9,,,
108,서울,2024-02-08 08:00,,,,,19
108,서울,2024-02-08 09:00,,,,,19
108,서울,2024-02-08 10:00,,,,,19
108,서울,2024-02-09 10:00,,,,,19
108,서울,2024-02-09 11:00,,,,,19
108,서울,2024-02-09 12:00,,,,,19
108,서울,2024-02-10 08:00,,,,,19
108,서울,2024-02-10 09:00,,,,,19
108,서울,2024-02-10 10:00,,,,,19
108,서울,2024-02-10 11:00,,,,,19
108,서울,2024-02-10 12:00,,,,,4019
108,서울,2024-02-10 13:00,,,,,40
108,서울,2024-02-10 14:00,,,,,40
108,서울,2024-02-10 15:00,,,,,40
108,서울,2024-02-10 17:00,,,,,40
108,서울,2024-02-10 18:00,,,,,40
108,서울,2024-02-10 19:00,,,,,40
108,서울,2024-02-10 20:00,,,,,40
108,서울,2024-02-10 21:00,,,,,40
108,서울,2024-02-10 22:00,,,,,40
108,서울,2024-02-10 23:00,,,,,40
108,서울,2024-02-11 00:00,,,,,40
108,서울,2024-02-11 01:00,,,,,4019
108,서울,2024-02-11 02:00,,,,,19
108,서울,2024-02-11 03:00,,,,,19
108,서울,2024-02-11 04:00,,,,,19
108,서울,2024-02-11 05:00,,,,,19
